Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,1/22/2015,3153
Cumulative number of confirmed Ebola deaths,Sierra Leone,1/22/2015,2787
Cumulative number of probable Ebola deaths,Sierra Leone,1/22/2015,208
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,1/22/2015,1
Cumulative number of confirmed Ebola cases,Mali,1/22/2015,7
Cumulative number of probable Ebola cases,Mali,1/22/2015,1
Cumulative number of suspected Ebola cases,Mali,1/22/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,1/22/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,1/22/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,1/22/2015,19
Cumulative number of probable Ebola cases,Nigeria,1/22/2015,1
Cumulative number of suspected Ebola cases,Nigeria,1/22/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,1/22/2015,20
Cumulative number of confirmed Ebola cases,Senegal,1/22/2015,1
Cumulative number of probable Ebola cases,Senegal,1/22/2015,0
Cumulative number of suspected Ebola cases,Senegal,1/22/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,1/22/2015,1
Cumulative number of confirmed Ebola cases,Spain,1/22/2015,1
Cumulative number of probable Ebola cases,Spain,1/22/2015,0
Cumulative number of suspected Ebola cases,Spain,1/22/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,1/22/2015,1
Cumulative number of confirmed Ebola cases,United States of America,1/22/2015,4
Cumulative number of probable Ebola cases,United States of America,1/22/2015,0
Cumulative number of suspected Ebola cases,United States of America,1/22/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,1/22/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,1/22/2015,7
Cumulative number of probable Ebola deaths,Nigeria,1/22/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,1/22/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,1/22/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,1/22/2015,0
Cumulative number of probable Ebola deaths,Senegal,1/22/2015,0
Cumulative number of suspected Ebola deaths,Senegal,1/22/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,1/22/2015,0
Cumulative number of confirmed Ebola deaths,Spain,1/22/2015,0
Cumulative number of probable Ebola deaths,Spain,1/22/2015,0
Cumulative number of suspected Ebola deaths,Spain,1/22/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,1/22/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,1/22/2015,1
Cumulative number of probable Ebola deaths,United States of America,1/22/2015,0
Cumulative number of suspected Ebola deaths,United States of America,1/22/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,1/22/2015,1
Cumulative number of confirmed Ebola cases,Guinea,1/21/2015,2539
Cumulative number of probable Ebola cases,Liberia,1/21/2015,1854
Cumulative number of suspected Ebola cases,Liberia,1/21/2015,3489
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,1/21/2015,8478
Number of confirmed Ebola cases in the last 21 days,Liberia,1/21/2015,25
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,1/21/2015,549
Cumulative number of confirmed Ebola deaths,Sierra Leone,1/21/2015,2779
Cumulative number of probable Ebola deaths,Sierra Leone,1/21/2015,208
Cumulative number of probable Ebola cases,Guinea,1/21/2015,319
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,1/21/2015,2871
Cumulative number of confirmed Ebola cases,Liberia,1/21/2015,3135
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,1/21/2015,25
Cumulative number of suspected Ebola cases,Sierra Leone,1/21/2015,2150
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,1/21/2015,549
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,1/21/2015,3145
Cumulative number of confirmed Ebola cases,United Kingdom,1/21/2015,1
Cumulative number of probable Ebola cases,United Kingdom,1/21/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,1/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,1/21/2015,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,1/21/2015,136
Cumulative number of confirmed Ebola deaths,Guinea,1/21/2015,1557
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,1/21/2015,3605
Cumulative number of confirmed Ebola cases,Sierra Leone,1/21/2015,7903
Cumulative number of probable Ebola cases,Sierra Leone,1/21/2015,287
Cumulative number of suspected Ebola cases,Guinea,1/21/2015,13
Number of confirmed Ebola cases in the last 21 days,Guinea,1/21/2015,136
Cumulative number of probable Ebola deaths,Guinea,1/21/2015,319
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,1/21/2015,1876
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,1/21/2015,10340
Cumulative number of suspected Ebola deaths,Sierra Leone,1/21/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,1/21/2015,1
Cumulative number of confirmed Ebola cases,Mali,1/21/2015,7
Cumulative number of probable Ebola cases,Mali,1/21/2015,1
Cumulative number of suspected Ebola cases,Mali,1/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,1/21/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,1/21/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,1/21/2015,19
Cumulative number of probable Ebola cases,Nigeria,1/21/2015,1
Cumulative number of suspected Ebola cases,Nigeria,1/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,1/21/2015,20
Cumulative number of confirmed Ebola cases,Senegal,1/21/2015,1
Cumulative number of probable Ebola cases,Senegal,1/21/2015,0
Cumulative number of suspected Ebola cases,Senegal,1/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,1/21/2015,1
Cumulative number of confirmed Ebola cases,Spain,1/21/2015,1
Cumulative number of probable Ebola cases,Spain,1/21/2015,0
Cumulative number of suspected Ebola cases,Spain,1/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,1/21/2015,1
Cumulative number of confirmed Ebola cases,United States of America,1/21/2015,4
Cumulative number of probable Ebola cases,United States of America,1/21/2015,0
Cumulative number of suspected Ebola cases,United States of America,1/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,1/21/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,1/21/2015,7
Cumulative number of probable Ebola deaths,Nigeria,1/21/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,1/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,1/21/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,1/21/2015,0
Cumulative number of probable Ebola deaths,Senegal,1/21/2015,0
Cumulative number of suspected Ebola deaths,Senegal,1/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,1/21/2015,0
Cumulative number of confirmed Ebola deaths,Spain,1/21/2015,0
Cumulative number of probable Ebola deaths,Spain,1/21/2015,0
Cumulative number of suspected Ebola deaths,Spain,1/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,1/21/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,1/21/2015,1
Cumulative number of probable Ebola deaths,United States of America,1/21/2015,0
Cumulative number of suspected Ebola deaths,United States of America,1/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,1/21/2015,1
Cumulative number of probable Ebola cases,Guinea,1/20/2015,319
Cumulative number of suspected Ebola cases,Guinea,1/20/2015,13
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,1/20/2015,1876
Cumulative number of confirmed Ebola deaths,Guinea,1/20/2015,1557
Cumulative number of suspected Ebola cases,Sierra Leone,1/20/2015,2150
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,1/20/2015,3145
Cumulative number of confirmed Ebola deaths,Sierra Leone,1/20/2015,2779
Cumulative number of probable Ebola deaths,Sierra Leone,1/20/2015,208
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,1/20/2015,2871
Cumulative number of confirmed Ebola cases,Liberia,1/20/2015,3135
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,1/20/2015,10340
Cumulative number of probable Ebola cases,Sierra Leone,1/20/2015,287
Cumulative number of suspected Ebola deaths,Sierra Leone,1/20/2015,158
Cumulative number of confirmed Ebola cases,Guinea,1/20/2015,2539
Cumulative number of probable Ebola deaths,Guinea,1/20/2015,319
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,1/20/2015,8478
Cumulative number of confirmed Ebola cases,Sierra Leone,1/20/2015,7903
Cumulative number of confirmed Ebola cases,United Kingdom,1/20/2015,1
Cumulative number of probable Ebola cases,Liberia,1/20/2015,1854
Cumulative number of suspected Ebola cases,Liberia,1/20/2015,3489
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,1/20/2015,3605
Cumulative number of probable Ebola cases,United Kingdom,1/20/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,1/20/2015,1
Cumulative number of confirmed Ebola cases,Mali,1/20/2015,7
Cumulative number of probable Ebola cases,Mali,1/20/2015,1
Cumulative number of suspected Ebola cases,Mali,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,1/20/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,1/20/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,1/20/2015,19
Cumulative number of probable Ebola cases,Nigeria,1/20/2015,1
Cumulative number of suspected Ebola cases,Nigeria,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,1/20/2015,20
Cumulative number of confirmed Ebola cases,Senegal,1/20/2015,1
Cumulative number of probable Ebola cases,Senegal,1/20/2015,0
Cumulative number of suspected Ebola cases,Senegal,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,1/20/2015,1
Cumulative number of confirmed Ebola cases,Spain,1/20/2015,1
Cumulative number of probable Ebola cases,Spain,1/20/2015,0
Cumulative number of suspected Ebola cases,Spain,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,1/20/2015,1
Cumulative number of confirmed Ebola cases,United States of America,1/20/2015,4
Cumulative number of probable Ebola cases,United States of America,1/20/2015,0
Cumulative number of suspected Ebola cases,United States of America,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,1/20/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,1/20/2015,7
Cumulative number of probable Ebola deaths,Nigeria,1/20/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,1/20/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,1/20/2015,0
Cumulative number of probable Ebola deaths,Senegal,1/20/2015,0
Cumulative number of suspected Ebola deaths,Senegal,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,1/20/2015,0
Cumulative number of confirmed Ebola deaths,Spain,1/20/2015,0
Cumulative number of probable Ebola deaths,Spain,1/20/2015,0
Cumulative number of suspected Ebola deaths,Spain,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,1/20/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,1/20/2015,1
Cumulative number of probable Ebola deaths,United States of America,1/20/2015,0
Cumulative number of suspected Ebola deaths,United States of America,1/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,1/20/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,1/19/2015,10306
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,1/19/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,1/19/2015,1875
Cumulative number of confirmed Ebola deaths,Guinea,1/19/2015,1556
Cumulative number of probable Ebola deaths,Guinea,1/19/2015,319
Cumulative number of confirmed Ebola deaths,Sierra Leone,1/19/2015,2766
Cumulative number of probable Ebola deaths,Sierra Leone,1/19/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,1/19/2015,158
Cumulative number of confirmed Ebola cases,Guinea,1/19/2015,2539
Cumulative number of suspected Ebola cases,Guinea,1/19/2015,15
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,1/19/2015,8435
Cumulative number of probable Ebola cases,Liberia,1/19/2015,1850
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,1/19/2015,3587
Cumulative number of confirmed Ebola cases,Sierra Leone,1/19/2015,7883
Cumulative number of suspected Ebola cases,Sierra Leone,1/19/2015,2136
Cumulative number of confirmed Ebola cases,United Kingdom,1/19/2015,1
Cumulative number of suspected Ebola cases,United Kingdom,1/19/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,1/19/2015,2873
Cumulative number of probable Ebola cases,Guinea,1/19/2015,319
Cumulative number of confirmed Ebola cases,Liberia,1/19/2015,3131
Cumulative number of suspected Ebola cases,Liberia,1/19/2015,3454
Cumulative number of probable Ebola cases,Sierra Leone,1/19/2015,287
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,1/19/2015,3132
Cumulative number of probable Ebola cases,United Kingdom,1/19/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,1/19/2015,1
Cumulative number of confirmed Ebola cases,Mali,1/19/2015,7
Cumulative number of probable Ebola cases,Mali,1/19/2015,1
Cumulative number of suspected Ebola cases,Mali,1/19/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,1/19/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,1/19/2015,8
